Date,Region,T2M,PRCP,n_cells,Month,T2M_CLIM,PRCP_CLIM,T2M_DEV,PRCP_DEV
2007-01,Sabah,24.169615384615383,429.4223076923077,26,1,24.22394736842105,321.44544534412955,-0.054331983805667505,107.97686234817814
2007-01,Sarawak,24.340666666666664,458.7251111111111,45,1,24.37948538011696,424.4135789473684,-0.03881871345029708,34.3115321637427
2007-01,West,24.914259259259257,276.12796296296295,54,1,25.079463937621835,230.97695906432747,-0.1652046783625778,45.15100389863548
2007-02,Sabah,24.204615384615387,101.93423076923077,26,2,24.261072874493927,186.63192307692307,-0.05645748987853949,-84.69769230769231
2007-02,Sarawak,24.29288888888889,326.9862222222222,45,2,24.43101754385965,296.72564912280706,-0.13812865497076032,30.260573099415126
2007-02,West,25.166851851851852,101.50703703703704,54,2,25.40071150097466,132.7498148148148,-0.233859649122806,-31.242777777777775
2007-03,Sabah,24.581923076923076,164.63115384615384,26,3,24.738076923076925,188.7356072874494,-0.15615384615384897,-24.10445344129556
2007-03,Sarawak,24.770222222222223,159.41155555555554,45,3,24.740116959064327,292.8453216374269,0.03010526315789619,-133.43376608187134
2007-03,West,25.88240740740741,169.13537037037037,54,3,26.113450292397662,193.56920077972708,-0.23104288499025216,-24.433830409356716
2007-04,Sabah,25.17961538461538,136.38346153846155,26,4,25.296234817813765,183.34218623481783,-0.11661943319838386,-46.958724696356285
2007-04,Sarawak,24.955333333333332,243.50400000000002,45,4,25.091649122807016,275.35359064327486,-0.1363157894736844,-31.849590643274837
2007-04,West,26.457592592592594,250.4075925925926,54,4,26.754658869395712,207.00399610136452,-0.29706627680311826,43.403596491228086
2007-05,Sabah,25.421538461538464,201.51653846153846,26,5,25.527773279352225,214.9587854251012,-0.10623481781376043,-13.442246963562752
2007-05,Sarawak,25.20866666666667,234.3617777777778,45,5,25.357660818713452,257.14451461988307,-0.14899415204678235,-22.782736842105265
2007-05,West,26.48851851851852,168.7537037037037,54,5,26.95648148148148,206.06769980506823,-0.46796296296295736,-37.31399610136452
2007-06,Sabah,25.105,244.37769230769229,26,6,25.01338056680162,217.84076923076924,0.09161943319838173,26.536923076923046
2007-06,Sarawak,24.85111111111111,348.98755555555556,45,6,24.945438596491226,255.94715789473685,-0.09432748538011637,93.04039766081871
2007-06,West,26.30537037037037,171.18759259259258,54,6,26.466929824561404,179.27282651072125,-0.16155945419103546,-8.085233918128665
2007-07,Sabah,24.470384615384617,282.0246153846154,26,7,24.722793522267207,230.967955465587,-0.25240890688258943,51.05665991902839
